Wavelength,IntensityFactor
880.492,1652.05
880.446,1660.75
880.4,1661.55
880.355,1646.05
880.309,1656.65
880.263,1675.95
880.217,1675.4
880.172,1660.4
880.126,1661.4
880.08,1674.3
880.034,1657.7
879.989,1653.05
879.943,1655.05
879.897,1680.55
879.852,1751.3
879.806,1650.7
879.76,1667.55
879.714,1660.45
879.669,1656.9
879.623,1669.5
879.577,1652.3
879.531,1658.9
879.485,1686
879.44,1664.8
879.394,1662.2
879.348,1655.3
879.302,1668.7
879.257,1665.7
879.211,1659.3
879.165,1667.85
879.119,1652.4
879.073,1661.15
879.028,1651.2
878.982,1650.3
878.936,1661.95
878.89,1644
878.844,1654.4
878.799,1667.6
878.753,1665.8
878.707,1654.1
878.661,1657.75
878.615,1663.85
878.569,1664.8
878.524,1662.55
878.478,1674.85
878.432,1686.4
878.386,1672.15
878.34,1671
878.294,1668.4
878.248,1658.8
878.203,1634.95
878.157,1674.65
878.111,1653.1
878.065,1663.2
878.019,1675.55
877.973,1669.15
877.927,1657.95
877.881,1659.7
877.836,1664.85
877.79,1674.2
877.744,1653.05
877.698,1670.25
877.652,1662
877.606,1659.25
877.56,1656.9
877.514,1746.5
877.468,1642.7
877.422,1661.8
877.376,1656.5
877.331,1664.75
877.285,1659.65
877.239,1673.35
877.193,1661.65
877.147,1662.65
877.101,1679.9
877.055,1659.75
877.009,1677.6
876.963,1689.45
876.917,1660.6
876.871,1673.55
876.825,1673.5
876.779,1662.75
876.733,1681.4
876.687,1677.05
876.641,1658.7
876.595,1672.1
876.549,1659.05
876.503,1656
876.457,1649.25
876.411,1646.9
876.365,1656.1
876.319,1645.3
876.273,1678.65
876.227,1667.9
876.181,1655.4
876.135,1679.4
876.089,1644.85
876.043,1654.5
875.997,1680.7
875.951,1668.95
875.905,1641.15
875.859,1652.65
875.813,1662
875.767,1674.55
875.721,1660.6
875.675,1650.4
875.629,1662
875.583,1672.8
875.537,1669.2
875.491,1659.8
875.445,1672.5
875.399,1689.2
875.352,1656.3
875.306,1633.05
875.26,1681.75
875.214,1666.4
875.168,1744.7
875.122,1654.5
875.076,1648.35
875.03,1657
874.984,1669.4
874.938,1645.55
874.892,1649.9
874.845,1683.75
874.799,1654.15
874.753,1655.95
874.707,1667.2
874.661,1672.3
874.615,1682.45
874.569,1660.15
874.523,1655.2
874.476,1664.4
874.43,1662.95
874.384,1656.45
874.338,1667.65
874.292,1663.6
874.246,1665.2
874.2,1672.65
874.153,1650.4
874.107,1666.05
874.061,1642.65
874.015,1664.4
873.969,1666.8
873.923,1655.7
873.876,1661.6
873.83,1667.65
873.784,1662.2
873.738,1670.8
873.692,1670.85
873.645,1693.85
873.599,1642.9
873.553,1662.7
873.507,1661.6
873.461,1676.7
873.414,1676.2
873.368,1658.25
873.322,1658.05
873.276,1674
873.23,1641.35
873.183,1653.05
873.137,1652.2
873.091,1680.6
873.045,1667.8
872.998,1675.85
872.952,1655.5
872.906,1658.1
872.86,1688.9
872.813,1765.5
872.767,1652.55
872.721,1653.75
872.675,1652.45
872.628,1651.9
872.582,1662.75
872.536,1668.95
872.489,1663.35
872.443,1668.85
872.397,1660.8
872.351,1667.75
872.304,1679.85
872.258,1670.3
872.212,1675.1
872.165,1674.55
872.119,1673.45
872.073,1675
872.026,1662.2
871.98,1640.65
871.934,1638.85
871.888,1677.15
871.841,1674.4
871.795,1662.45
871.749,1650.05
871.702,1648.05
871.656,1656.7
871.61,1682.25
871.563,1653.55
871.517,1662.25
871.47,1656.6
871.424,1667.4
871.378,1655.55
871.331,1675.15
871.285,1653.05
871.239,1666.6
871.192,1651.6
871.146,1669.35
871.099,1648.35
871.053,1667
871.007,1648.4
870.96,1658.35
870.914,1665.45
870.868,1676.3
870.821,1657
870.775,1659.25
870.728,1643
870.682,1667.65
870.636,1658.65
870.589,1677.1
870.543,1682.25
870.496,1674.25
870.45,1776.15
870.403,1660.25
870.357,1623.8
870.311,1658.7
870.264,1640.15
870.218,1680.4
870.171,1638.15
870.125,1640.9
870.078,1649.2
870.032,1679.15
869.985,1670.55
869.939,1662.8
869.892,1649.7
869.846,1683.4
869.799,1666.85
869.753,1676.25
869.707,1660.5
869.66,1672.85
869.614,1676.15
869.567,1671.7
869.521,1658.6
869.474,1656.05
869.428,1662.25
869.381,1648.1
869.335,1640.15
869.288,1667.7
869.242,1645.1
869.195,1650.65
869.148,1660.9
869.102,1683.15
869.055,1657.95
869.009,1665.05
868.962,1653.45
868.916,1684.25
868.869,1670.4
868.823,1666.35
868.776,1679.6
868.73,1659.75
868.683,1652.65
868.637,1659.2
868.59,1662.55
868.543,1635.95
868.497,1656.35
868.45,1654.55
868.404,1643.95
868.357,1656.95
868.311,1645.55
868.264,1650.05
868.217,1676.1
868.171,1650.1
868.124,1666.2
868.078,1758.65
868.031,1652.95
867.984,1679.55
867.938,1671.15
867.891,1664.35
867.845,1664.3
867.798,1661.95
867.751,1662.1
867.705,1664.85
867.658,1657.35
867.611,1667.6
867.565,1652
867.518,1663.85
867.471,1649.4
867.425,1672.85
867.378,1671.8
867.332,1667.45
867.285,1665.05
867.238,1672.8
867.192,1680.35
867.145,1671.15
867.098,1669.75
867.052,1677.15
867.005,1675.1
866.958,1664.45
866.911,1673.35
866.865,1674.25
866.818,1646.85
866.771,1681.9
866.725,1659.65
866.678,1673.6
866.631,1669.2
866.585,1673.4
866.538,1655.9
866.491,1657.8
866.444,1636.55
866.398,1666.8
866.351,1657.8
866.304,1649.6
866.258,1652.25
866.211,1662.1
866.164,1652.15
866.117,1661.8
866.071,1666.1
866.024,1652.65
865.977,1682.45
865.93,1670.9
865.884,1667.75
865.837,1661.05
865.79,1661.65
865.743,1670.35
865.697,1700.4
865.65,1663.8
865.603,1663.2
865.556,1673.05
865.509,1665.8
865.463,1659.95
865.416,1659.4
865.369,1651.65
865.322,1673.75
865.276,1669.95
865.229,1660.8
865.182,1667.8
865.135,1658.7
865.088,1681.85
865.041,1653.25
864.995,1658.45
