Wavelength,IntensityFactor
880.492,1677.3
880.446,1658.9
880.4,1658.5
880.355,1675.55
880.309,1688.95
880.263,1664.55
880.217,1676.15
880.172,1683
880.126,1660.35
880.08,1661
880.034,1663.35
879.989,1665.1
879.943,1675.25
879.897,1666.05
879.852,1792.15
879.806,1684.7
879.76,1687.2
879.714,1675.3
879.669,1663.05
879.623,1690.7
879.577,1680.55
879.531,1679
879.485,1694.3
879.44,1670
879.394,1664.4
879.348,1666
879.302,1682.4
879.257,1661.65
879.211,1660.95
879.165,1651.15
879.119,1675.95
879.073,1659.4
879.028,1657.05
878.982,1670.85
878.936,1682.25
878.89,1673.15
878.844,1666.5
878.799,1670.6
878.753,1671.75
878.707,1683.6
878.661,1665.95
878.615,1679.95
878.569,1679.4
878.524,1664.5
878.478,1662.4
878.432,1680.85
878.386,1668.2
878.34,1662.2
878.294,1661.05
878.248,1667.1
878.203,1678.1
878.157,1674.85
878.111,1657.45
878.065,1667.15
878.019,1667.7
877.973,1662.6
877.927,1655.95
877.881,1650.3
877.836,1673.4
877.79,1648.95
877.744,1660.05
877.698,1660
877.652,1674.45
877.606,1667.85
877.56,1664.85
877.514,1741.6
877.468,1667.95
877.422,1669.2
877.376,1681.5
877.331,1657.35
877.285,1647.35
877.239,1675.35
877.193,1657.05
877.147,1673.3
877.101,1666.3
877.055,1654.7
877.009,1664.1
876.963,1681.1
876.917,1640.5
876.871,1682.2
876.825,1659.25
876.779,1671.85
876.733,1679
876.687,1673.95
876.641,1675.5
876.595,1669.75
876.549,1653.15
876.503,1681.2
876.457,1674.4
876.411,1668.8
876.365,1662.5
876.319,1661.25
876.273,1681.05
876.227,1666.3
876.181,1658.05
876.135,1677.4
876.089,1674.25
876.043,1657.45
875.997,1648.5
875.951,1652.75
875.905,1678.8
875.859,1671.25
875.813,1672.6
875.767,1681.25
875.721,1676.65
875.675,1663.55
875.629,1663.7
875.583,1663.5
875.537,1673
875.491,1688.7
875.445,1667.95
875.399,1650.3
875.352,1659.05
875.306,1662.15
875.26,1651.75
875.214,1669.35
875.168,1749.4
875.122,1645
875.076,1671.5
875.03,1669.95
874.984,1652.9
874.938,1677.8
874.892,1670.4
874.845,1690.85
874.799,1674
874.753,1675.9
874.707,1673.2
874.661,1670.95
874.615,1669.6
874.569,1664
874.523,1662.95
874.476,1663.3
874.43,1667.5
874.384,1659.15
874.338,1653.05
874.292,1657
874.246,1660.95
874.2,1656.75
874.153,1660.8
874.107,1665.25
874.061,1672.3
874.015,1659
873.969,1666.15
873.923,1665.7
873.876,1669
873.83,1674.05
873.784,1663.05
873.738,1666.75
873.692,1679.2
873.645,1669.9
873.599,1660.95
873.553,1669.8
873.507,1660.2
873.461,1664.35
873.414,1676.65
873.368,1673.3
873.322,1656.45
873.276,1668.35
873.23,1681
873.183,1669.9
873.137,1681.3
873.091,1678.6
873.045,1673.2
872.998,1683.8
872.952,1680.65
872.906,1693.9
872.86,1653.9
872.813,1769.6
872.767,1667.3
872.721,1674.55
872.675,1655.25
872.628,1681.7
872.582,1667.4
872.536,1666.25
872.489,1654.65
872.443,1671.3
872.397,1666.95
872.351,1656.35
872.304,1644.65
872.258,1665.15
872.212,1660.9
872.165,1668.4
872.119,1685.65
872.073,1676.35
872.026,1665.25
871.98,1663.55
871.934,1666.85
871.888,1651.75
871.841,1675.25
871.795,1668.2
871.749,1656.5
871.702,1665.5
871.656,1666.75
871.61,1662.5
871.563,1676.85
871.517,1658.95
871.47,1670.5
871.424,1674.7
871.378,1662.75
871.331,1681
871.285,1667.4
871.239,1700.45
871.192,1680
871.146,1690.05
871.099,1670.3
871.053,1670.35
871.007,1646.35
870.96,1666.85
870.914,1673.65
870.868,1657.85
870.821,1659.5
870.775,1647.55
870.728,1636.75
870.682,1670.85
870.636,1655.3
870.589,1679.95
870.543,1679.6
870.496,1653.9
870.45,1788.2
870.403,1676.85
870.357,1665.5
870.311,1661.8
870.264,1662.45
870.218,1649.3
870.171,1656.25
870.125,1656.25
870.078,1671.65
870.032,1654.35
869.985,1660.45
869.939,1680.65
869.892,1673.2
869.846,1683.85
869.799,1667.95
869.753,1675.15
869.707,1668.85
869.66,1668.2
869.614,1656.7
869.567,1647.8
869.521,1662.9
869.474,1659.85
869.428,1651.75
869.381,1651.05
869.335,1662.35
869.288,1663.8
869.242,1664.05
869.195,1662.75
869.148,1677.95
869.102,1661.2
869.055,1681.6
869.009,1657.65
868.962,1658.75
868.916,1667.55
868.869,1659.1
868.823,1663.45
868.776,1653.8
868.73,1677.75
868.683,1667.55
868.637,1663.75
868.59,1676.85
868.543,1684.45
868.497,1656.3
868.45,1657.3
